dataset,method,iter,split,accuracy,f1_score
bankruptcy,claude,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,claude,1,33/67,0.875,0.8785714285714286
bankruptcy,claude,2,33/67,0.8614035087719298,0.8528138528138528
bankruptcy,claude,3,33/67,0.7892857142857144,0.7647058823529411
bankruptcy,claude,4,33/67,0.7736842105263158,0.7786046511627907
bankruptcy,claude,0,50/50,0.8,0.8161764705882353
bankruptcy,claude,1,50/50,0.8846153846153846,0.8792270531400965
bankruptcy,claude,2,50/50,0.8819444444444444,0.8726655348047538
bankruptcy,claude,3,50/50,0.7402597402597402,0.7181964573268921
bankruptcy,claude,4,50/50,0.7166666666666667,0.7242647058823529
bankruptcy,claude,0,67/33,0.6666666666666666,0.6730769230769231
bankruptcy,claude,1,67/33,0.8333333333333333,0.8210526315789474
bankruptcy,claude,2,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,claude,3,67/33,0.7285714285714285,0.7058823529411765
bankruptcy,claude,4,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gemini,0,33/67,0.5666666666666667,0.4901960784313726
bankruptcy,gemini,1,33/67,0.6041666666666666,0.5641025641025641
bankruptcy,gemini,2,33/67,0.8350877192982455,0.8235294117647058
bankruptcy,gemini,3,33/67,0.7607142857142857,0.770048309178744
bankruptcy,gemini,4,33/67,0.6,0.5466666666666666
bankruptcy,gemini,0,50/50,0.6,0.5614035087719298
bankruptcy,gemini,1,50/50,0.6314102564102564,0.6179966044142615
bankruptcy,gemini,2,50/50,0.8506944444444444,0.8333333333333334
bankruptcy,gemini,3,50/50,0.7727272727272727,0.7771836007130125
bankruptcy,gemini,4,50/50,0.65,0.6361746361746362
bankruptcy,gemini,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gemini,1,67/33,0.5138888888888888,0.48484848484848486
bankruptcy,gemini,2,67/33,0.9090909090909092,0.8785714285714286
bankruptcy,gemini,3,67/33,0.7857142857142857,0.7984189723320159
bankruptcy,gemini,4,67/33,0.6666666666666666,0.6136363636363636
bankruptcy,gpt-4o,0,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gpt-4o,1,33/67,0.47916666666666663,0.4631578947368421
bankruptcy,gpt-4o,2,33/67,0.7824561403508772,0.7638888888888888
bankruptcy,gpt-4o,3,33/67,0.75,0.7588652482269503
bankruptcy,gpt-4o,4,33/67,0.6842105263157895,0.6263736263736264
bankruptcy,gpt-4o,0,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-4o,1,50/50,0.5160256410256411,0.512987012987013
bankruptcy,gpt-4o,2,50/50,0.8194444444444444,0.7947454844006567
bankruptcy,gpt-4o,3,50/50,0.7272727272727273,0.7242647058823529
bankruptcy,gpt-4o,4,50/50,0.6666666666666666,0.5833333333333333
bankruptcy,gpt-4o,0,67/33,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,1,67/33,0.4027777777777778,0.39285714285714285
bankruptcy,gpt-4o,2,67/33,0.9090909090909092,0.8785714285714286
bankruptcy,gpt-4o,3,67/33,0.7142857142857143,0.7166666666666667
bankruptcy,gpt-4o,4,67/33,0.6875,0.6640316205533596
bankruptcy,gpt-o1,0,33/67,0.7403508771929824,0.7424242424242424
bankruptcy,gpt-o1,1,33/67,0.75,0.7424242424242424
bankruptcy,gpt-o1,2,33/67,0.631578947368421,0.5492424242424242
bankruptcy,gpt-o1,3,33/67,0.725,0.6693191865605659
bankruptcy,gpt-o1,4,33/67,0.6666666666666666,0.6458333333333333
bankruptcy,gpt-o1,0,50/50,0.7,0.7023809523809523
bankruptcy,gpt-o1,1,50/50,0.7692307692307692,0.75
bankruptcy,gpt-o1,2,50/50,0.65625,0.548440065681445
bankruptcy,gpt-o1,3,50/50,0.75,0.7126436781609196
bankruptcy,gpt-o1,4,50/50,0.7,0.7023809523809523
bankruptcy,gpt-o1,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gpt-o1,1,67/33,0.7777777777777778,0.7571428571428571
bankruptcy,gpt-o1,2,67/33,0.7272727272727273,0.6458333333333333
bankruptcy,gpt-o1,3,67/33,0.75,0.7017543859649122
bankruptcy,gpt-o1,4,67/33,0.6666666666666666,0.6136363636363636
bankruptcy,llama3.1:70b,0,33/67,0.6333333333333333,0.59828141783029
bankruptcy,llama3.1:70b,1,33/67,0.65625,0.6210739614994933
bankruptcy,llama3.1:70b,2,33/67,0.6578947368421053,0.5888372093023255
bankruptcy,llama3.1:70b,3,33/67,0.675,0.6007226738934056
bankruptcy,llama3.1:70b,4,33/67,0.8350877192982455,0.8235294117647058
bankruptcy,llama3.1:70b,0,50/50,0.6,0.5614035087719298
bankruptcy,llama3.1:70b,1,50/50,0.6538461538461539,0.5989304812834224
bankruptcy,llama3.1:70b,2,50/50,0.6875,0.5941558441558441
bankruptcy,llama3.1:70b,3,50/50,0.7142857142857143,0.6666666666666666
