dataset,method,iter,split,accuracy,f1_score
bankruptcy,llama3.1:70b,4,50/50,0.8666666666666667,0.8397435897435898
bankruptcy,llama3.1:70b,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,llama3.1:70b,1,67/33,0.6666666666666666,0.6136363636363636
bankruptcy,llama3.1:70b,2,67/33,0.7272727272727273,0.6458333333333333
bankruptcy,llama3.1:70b,3,67/33,0.75,0.7017543859649122
bankruptcy,llama3.1:70b,4,67/33,0.875,0.8785714285714286
bankruptcy,llama3.3:70b,0,33/67,0.643859649122807,0.6091954022988506
bankruptcy,llama3.3:70b,1,33/67,0.875,0.8785714285714286
bankruptcy,llama3.3:70b,2,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,llama3.3:70b,3,33/67,0.675,0.678030303030303
bankruptcy,llama3.3:70b,4,33/67,0.8350877192982455,0.8235294117647058
bankruptcy,llama3.3:70b,0,50/50,0.6333333333333333,0.5993589743589745
bankruptcy,llama3.3:70b,1,50/50,0.8461538461538461,0.8376623376623377
bankruptcy,llama3.3:70b,2,50/50,0.8020833333333333,0.8161764705882353
bankruptcy,llama3.3:70b,3,50/50,0.6558441558441558,0.6527777777777778
bankruptcy,llama3.3:70b,4,50/50,0.8666666666666667,0.8397435897435898
bankruptcy,llama3.3:70b,0,67/33,0.5606060606060606,0.5277777777777778
bankruptcy,llama3.3:70b,1,67/33,0.7777777777777778,0.7571428571428571
bankruptcy,llama3.3:70b,2,67/33,0.9166666666666667,0.9328063241106719
bankruptcy,llama3.3:70b,3,67/33,0.6142857142857143,0.6136363636363636
bankruptcy,llama3.3:70b,4,67/33,0.875,0.8785714285714286
bankruptcy,deepseek-r1:70b,0,33/67,0.6543859649122807,0.652093023255814
bankruptcy,deepseek-r1:70b,1,33/67,0.5034722222222222,0.49956709956709955
bankruptcy,deepseek-r1:70b,2,33/67,0.8947368421052632,0.8823529411764706
bankruptcy,deepseek-r1:70b,3,33/67,0.6857142857142857,0.6886446886446886
bankruptcy,deepseek-r1:70b,4,33/67,0.7228070175438597,0.7048611111111112
bankruptcy,deepseek-r1:70b,0,50/50,0.7333333333333334,0.7395833333333333
bankruptcy,deepseek-r1:70b,1,50/50,0.5160256410256411,0.512987012987013
bankruptcy,deepseek-r1:70b,2,50/50,0.9375,0.9166666666666667
bankruptcy,deepseek-r1:70b,3,50/50,0.7012987012987013,0.7028862478777589
bankruptcy,deepseek-r1:70b,4,50/50,0.7166666666666667,0.6794871794871795
bankruptcy,deepseek-r1:70b,0,67/33,0.7878787878787878,0.7984189723320159
bankruptcy,deepseek-r1:70b,1,67/33,0.4583333333333333,0.43956043956043955
bankruptcy,deepseek-r1:70b,2,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,deepseek-r1:70b,3,67/33,0.6857142857142857,0.6886446886446886
bankruptcy,deepseek-r1:70b,4,67/33,0.6944444444444444,0.6886446886446886
bankruptcy,gemma3:27b,0,33/67,0.7403508771929824,0.7424242424242424
bankruptcy,gemma3:27b,1,33/67,0.44791666666666663,0.43679163034001744
bankruptcy,gemma3:27b,2,33/67,0.631578947368421,0.5492424242424242
bankruptcy,gemma3:27b,3,33/67,0.65,0.5641025641025641
bankruptcy,gemma3:27b,4,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gemma3:27b,0,50/50,0.7,0.7023809523809523
bankruptcy,gemma3:27b,1,50/50,0.5160256410256411,0.512987012987013
bankruptcy,gemma3:27b,2,50/50,0.65625,0.548440065681445
bankruptcy,gemma3:27b,3,50/50,0.7142857142857143,0.6666666666666666
bankruptcy,gemma3:27b,4,50/50,0.6666666666666667,0.6666666666666667
bankruptcy,gemma3:27b,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gemma3:27b,1,67/33,0.4583333333333333,0.43956043956043955
bankruptcy,gemma3:27b,2,67/33,0.7272727272727273,0.6458333333333333
bankruptcy,gemma3:27b,3,67/33,0.75,0.7017543859649122
bankruptcy,gemma3:27b,4,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gpt-oss:120b,0,33/67,0.8280701754385965,0.8229166666666667
bankruptcy,gpt-oss:120b,1,33/67,0.8055555555555556,0.7895667550839964
bankruptcy,gpt-oss:120b,2,33/67,0.631578947368421,0.5492424242424242
bankruptcy,gpt-oss:120b,3,33/67,0.65,0.5641025641025641
bankruptcy,gpt-oss:120b,4,33/67,0.6,0.5466666666666666
bankruptcy,gpt-oss:120b,0,50/50,0.8,0.7947454844006567
bankruptcy,gpt-oss:120b,1,50/50,0.8333333333333333,0.8333333333333334
bankruptcy,gpt-oss:120b,2,50/50,0.65625,0.548440065681445
bankruptcy,gpt-oss:120b,3,50/50,0.7142857142857143,0.6666666666666666
bankruptcy,gpt-oss:120b,4,50/50,0.65,0.6361746361746362
bankruptcy,gpt-oss:120b,0,67/33,0.7424242424242424,0.7424242424242424
bankruptcy,gpt-oss:120b,1,67/33,0.875,0.8785714285714286
bankruptcy,gpt-oss:120b,2,67/33,0.7272727272727273,0.6458333333333333
bankruptcy,gpt-oss:120b,3,67/33,0.75,0.7017543859649122
bankruptcy,gpt-oss:120b,4,67/33,0.6666666666666666,0.6136363636363636
boxing1,claude,0,33/67,0.6637254901960784,0.6478260869565218
boxing1,claude,1,33/67,0.3797348484848485,0.2769031001460802
boxing1,claude,2,33/67,0.5725,0.5601448082935659
boxing1,claude,3,33/67,0.49595687331536387,0.4688524590163935
boxing1,claude,4,33/67,0.3640583554376658,0.23376623376623376
boxing1,claude,0,50/50,0.6875,0.667735354124162
boxing1,claude,1,50/50,0.3598442714126807,0.2932648746602235
boxing1,claude,2,50/50,0.5833333333333333,0.5739425748687866
boxing1,claude,3,50/50,0.4722222222222222,0.45041816009557945
boxing1,claude,4,50/50,0.3849206349206349,0.22391491807990802
boxing1,claude,0,67/33,0.64576802507837,0.6153846153846154
boxing1,claude,1,67/33,0.33959899749373434,0.2697768762677485
boxing1,claude,2,67/33,0.5641025641025641,0.5604395604395604
boxing1,claude,3,67/33,0.4843304843304843,0.4666666666666667
boxing1,claude,4,67/33,0.37637362637362637,0.23633969716919026
boxing1,gemini,0,33/67,0.5313725490196078,0.4218873909595559
boxing1,gemini,1,33/67,0.5170454545454546,0.39097744360902253
boxing1,gemini,2,33/67,0.6442857142857144,0.6561969439728353
boxing1,gemini,3,33/67,0.5013477088948787,0.49920508744038156
boxing1,gemini,4,33/67,0.4738063660477454,0.4320121951219512
boxing1,gemini,0,50/50,0.5375,0.4230769230769231
boxing1,gemini,1,50/50,0.5139043381535039,0.40476190476190477
boxing1,gemini,2,50/50,0.6706349206349206,0.6893667861409797
boxing1,gemini,3,50/50,0.5,0.4993581514762516
boxing1,gemini,4,50/50,0.4365079365079365,0.36666666666666664
boxing1,gemini,0,67/33,0.49529780564263326,0.3434343434343434
boxing1,gemini,1,67/33,0.5714285714285714,0.4642857142857143
boxing1,gemini,2,67/33,0.6353276353276354,0.6415770609318996
boxing1,gemini,3,67/33,0.5242165242165242,0.5238095238095238
boxing1,gemini,4,67/33,0.4752747252747253,0.42464040025015637
boxing1,gpt-4o,0,33/67,0.5676470588235294,0.4630681818181818
boxing1,gpt-4o,1,33/67,0.5255681818181819,0.4910344827586207
boxing1,gpt-4o,2,33/67,0.5564285714285714,0.4925897631779985
boxing1,gpt-4o,3,33/67,0.4841644204851752,0.31176470588235294
boxing1,gpt-4o,4,33/67,0.6584880636604774,0.6558823529411765
boxing1,gpt-4o,0,50/50,0.6125,0.4909502262443439
boxing1,gpt-4o,1,50/50,0.5545050055617353,0.5437904815544916
boxing1,gpt-4o,2,50/50,0.5793650793650793,0.4994438264738599
boxing1,gpt-4o,3,50/50,0.4801587301587301,0.28300786942582334
boxing1,gpt-4o,4,50/50,0.6507936507936508,0.6336996336996337
boxing1,gpt-4o,0,67/33,0.609717868338558,0.474671669793621
boxing1,gpt-4o,1,67/33,0.5087719298245614,0.48849104859335035
boxing1,gpt-4o,2,67/33,0.5698005698005698,0.5
boxing1,gpt-4o,3,67/33,0.5170940170940171,0.34167215273206053
boxing1,gpt-4o,4,67/33,0.6840659340659341,0.6647324306898775
boxing1,gpt-o1,0,33/67,0.46862745098039216,0.43836671802773497
boxing1,gpt-o1,1,33/67,0.47159090909090906,0.4375
boxing1,gpt-o1,2,33/67,0.4685714285714285,0.43509561304836897
boxing1,gpt-o1,3,33/67,0.444743935309973,0.44511278195488724
boxing1,gpt-o1,4,33/67,0.5,0.39097744360902253
boxing1,gpt-o1,0,50/50,0.4625,0.4460227272727273
boxing1,gpt-o1,1,50/50,0.4883203559510567,0.42233632862644416
boxing1,gpt-o1,2,50/50,0.46825396825396826,0.42708333333333337
boxing1,gpt-o1,3,50/50,0.42063492063492064,0.42233632862644416
boxing1,gpt-o1,4,50/50,0.5,0.4117647058823529
boxing1,gpt-o1,0,67/33,0.5047021943573667,0.4982078853046595
boxing1,gpt-o1,1,67/33,0.4072681704260651,0.3309090909090909
boxing1,gpt-o1,2,67/33,0.48290598290598286,0.43977591036414565
boxing1,gpt-o1,3,67/33,0.39173789173789175,0.3890909090909091
boxing1,gpt-o1,4,67/33,0.5,0.3939393939393939
boxing1,llama3.1:70b,0,33/67,0.48627450980392156,0.45670731707317075
boxing1,llama3.1:70b,1,33/67,0.5454545454545454,0.46428571428571425
boxing1,llama3.1:70b,2,33/67,0.5585714285714286,0.4814024390243902
boxing1,llama3.1:70b,3,33/67,0.5006738544474394,0.45670731707317075
boxing1,llama3.1:70b,4,33/67,0.394893899204244,0.3057503506311361
boxing1,llama3.1:70b,0,50/50,0.5,0.4762038862292312
boxing1,llama3.1:70b,1,50/50,0.5517241379310345,0.4460227272727273
boxing1,llama3.1:70b,2,50/50,0.5555555555555556,0.4666666666666667
boxing1,llama3.1:70b,3,50/50,0.5634920634920635,0.49776785714285715
boxing1,llama3.1:70b,4,50/50,0.4444444444444444,0.32659932659932656
boxing1,llama3.1:70b,0,67/33,0.5141065830721003,0.4791666666666667
boxing1,llama3.1:70b,1,67/33,0.5263157894736842,0.39999999999999997
boxing1,llama3.1:70b,2,67/33,0.5512820512820513,0.474671669793621
boxing1,llama3.1:70b,3,67/33,0.5512820512820513,0.474671669793621
boxing1,llama3.1:70b,4,67/33,0.4532967032967033,0.36507936507936506
boxing1,llama3.3:70b,0,33/67,0.42156862745098034,0.4218873909595559
boxing1,llama3.3:70b,1,33/67,0.3977272727272727,0.36689655172413793
boxing1,llama3.3:70b,2,33/67,0.49142857142857144,0.3410513141426783
boxing1,llama3.3:70b,3,33/67,0.6000673854447439,0.6008496176720476
boxing1,llama3.3:70b,4,33/67,0.6240053050397878,0.6240053050397878
boxing1,llama3.3:70b,0,50/50,0.375,0.375
boxing1,llama3.3:70b,1,50/50,0.38654060066740825,0.37902097902097903
boxing1,llama3.3:70b,2,50/50,0.44841269841269843,0.3009377664109122
boxing1,llama3.3:70b,3,50/50,0.6468253968253969,0.6391263057929724
boxing1,llama3.3:70b,4,50/50,0.5793650793650793,0.576379974326059
boxing1,llama3.3:70b,0,67/33,0.25235109717868337,0.2697768762677485
boxing1,llama3.3:70b,1,67/33,0.3771929824561403,0.37460913070669166
boxing1,llama3.3:70b,2,67/33,0.4017094017094017,0.28388746803069054
boxing1,llama3.3:70b,3,67/33,0.7350427350427351,0.7252747252747254
boxing1,llama3.3:70b,4,67/33,0.5769230769230769,0.5733333333333334
boxing1,deepseek-r1:70b,0,33/67,0.4754901960784314,0.3467741935483871
boxing1,deepseek-r1:70b,1,33/67,0.42803030303030304,0.42516129032258065
boxing1,deepseek-r1:70b,2,33/67,0.45035714285714284,0.45035714285714284
boxing1,deepseek-r1:70b,3,33/67,0.4828167115902965,0.4441055360683239
boxing1,deepseek-r1:70b,4,33/67,0.4907161803713528,0.3704996034892942
boxing1,deepseek-r1:70b,0,50/50,0.47500000000000003,0.34857142857142853
boxing1,deepseek-r1:70b,1,50/50,0.44215795328142377,0.41333333333333333
boxing1,deepseek-r1:70b,2,50/50,0.38888888888888884,0.38440492476060195
boxing1,deepseek-r1:70b,3,50/50,0.4801587301587302,0.442410588566601
boxing1,deepseek-r1:70b,4,50/50,0.5,0.3552036199095022
boxing1,deepseek-r1:70b,0,67/33,0.4498432601880878,0.3211816467630421
boxing1,deepseek-r1:70b,1,67/33,0.39097744360902253,0.375
boxing1,deepseek-r1:70b,2,67/33,0.39173789173789175,0.3890909090909091
boxing1,deepseek-r1:70b,3,67/33,0.4729344729344729,0.4444444444444444
boxing1,deepseek-r1:70b,4,67/33,0.489010989010989,0.38618925831202044
boxing1,gemma3:27b,0,33/67,0.5078431372549019,0.41708385481852317
boxing1,gemma3:27b,1,33/67,0.5454545454545454,0.5
boxing1,gemma3:27b,2,33/67,0.5296428571428571,0.45670731707317075
boxing1,gemma3:27b,3,33/67,0.5751347708894878,0.5406896551724139
boxing1,gemma3:27b,4,33/67,0.39124668435013266,0.3440794499618029
boxing1,gemma3:27b,0,50/50,0.5375000000000001,0.4461538461538462
boxing1,gemma3:27b,1,50/50,0.5578420467185762,0.5278344505974935
boxing1,gemma3:27b,2,50/50,0.5277777777777778,0.44984717977215893
boxing1,gemma3:27b,3,50/50,0.5992063492063492,0.5437904815544916
boxing1,gemma3:27b,4,50/50,0.4087301587301587,0.3498193942761878
boxing1,gemma3:27b,0,67/33,0.48432601880877746,0.37460913070669166
boxing1,gemma3:27b,1,67/33,0.5614035087719298,0.53125
boxing1,gemma3:27b,2,67/33,0.4943019943019943,0.42464040025015637
boxing1,gemma3:27b,3,67/33,0.6638176638176638,0.5989974937343359
boxing1,gemma3:27b,4,67/33,0.3846153846153846,0.35
boxing1,gpt-oss:120b,0,33/67,0.5647058823529412,0.55
boxing1,gpt-oss:120b,1,33/67,0.4810606060606061,0.4688119566875095
boxing1,gpt-oss:120b,2,33/67,0.6017857142857144,0.6053223388305847
boxing1,gpt-oss:120b,3,33/67,0.5370619946091644,0.5373030984940281
boxing1,gpt-oss:120b,4,33/67,0.5142572944297081,0.4910344827586207
boxing1,gpt-oss:120b,0,50/50,0.55,0.5248868778280543
boxing1,gpt-oss:120b,1,50/50,0.4199110122358176,0.4125874125874126
boxing1,gpt-oss:120b,2,50/50,0.6111111111111112,0.6164772727272727
boxing1,gpt-oss:120b,3,50/50,0.5396825396825397,0.5378690629011553
boxing1,gpt-oss:120b,4,50/50,0.4642857142857143,0.4373401534526854
boxing1,gpt-oss:120b,0,67/33,0.6849529780564263,0.6131528046421664
boxing1,gpt-oss:120b,1,67/33,0.45363408521303256,0.44862155388471175
boxing1,gpt-oss:120b,2,67/33,0.5797720797720798,0.5803066989507668
boxing1,gpt-oss:120b,3,67/33,0.48717948717948717,0.48717948717948717
boxing1,gpt-oss:120b,4,67/33,0.46153846153846156,0.4444444444444444
boxing2,claude,0,33/67,0.501270325203252,0.4635744234800838
boxing2,claude,1,33/67,0.47027439024390244,0.3486533957845433
boxing2,claude,2,33/67,0.527020202020202,0.5232142857142856
boxing2,claude,3,33/67,0.5101112234580384,0.36639772187944947
boxing2,claude,4,33/67,0.4976923076923077,0.4815096251266464
boxing2,claude,0,50/50,0.49585253456221196,0.4727443609022557
boxing2,claude,1,50/50,0.4727443609022557,0.3274105043114711
boxing2,claude,2,50/50,0.4903225806451613,0.48294930875576036
boxing2,claude,3,50/50,0.5124423963133641,0.3717805151175812
boxing2,claude,4,50/50,0.4552656104380242,0.4361579311937197
boxing2,claude,0,67/33,0.45454545454545453,0.4248366013071896
boxing2,claude,1,67/33,0.4732142857142857,0.3125
boxing2,claude,2,67/33,0.4375,0.4315245478036176
boxing2,claude,3,67/33,0.525879917184265,0.4270833333333333
boxing2,claude,4,67/33,0.4793028322440087,0.45454545454545453
boxing2,gemini,0,33/67,0.3353658536585366,0.32363731656184486
boxing2,gemini,1,33/67,0.366869918699187,0.366869918699187
boxing2,gemini,2,33/67,0.4674242424242424,0.36860377358490565
boxing2,gemini,3,33/67,0.5149140546006067,0.47023809523809523
boxing2,gemini,4,33/67,0.5625641025641026,0.519067469507488
boxing2,gemini,0,50/50,0.32534562211981566,0.3176691729323308
boxing2,gemini,1,50/50,0.3665413533834586,0.36701754385964913
boxing2,gemini,2,50/50,0.4622119815668203,0.3619022733211393
boxing2,gemini,3,50/50,0.5050691244239631,0.4327603640040445
boxing2,gemini,4,50/50,0.5629077353215285,0.5195968645016797
boxing2,gemini,0,67/33,0.29545454545454547,0.28623757195185767
boxing2,gemini,1,67/33,0.2901785714285714,0.2948717948717949
boxing2,gemini,2,67/33,0.4666666666666667,0.35710111046171833
boxing2,gemini,3,67/33,0.4824016563146998,0.39950372208436724
boxing2,gemini,4,67/33,0.5326797385620915,0.4996655518394649
boxing2,gpt-4o,0,33/67,0.501270325203252,0.4635744234800838
boxing2,gpt-4o,1,33/67,0.47027439024390244,0.3486533957845433
boxing2,gpt-4o,2,33/67,0.527020202020202,0.5232142857142856
boxing2,gpt-4o,3,33/67,0.5101112234580384,0.36639772187944947
boxing2,gpt-4o,4,33/67,0.4976923076923077,0.4815096251266464
boxing2,gpt-4o,0,50/50,0.49585253456221196,0.4727443609022557
boxing2,gpt-4o,1,50/50,0.4727443609022557,0.3274105043114711
boxing2,gpt-4o,2,50/50,0.4903225806451613,0.48294930875576036
boxing2,gpt-4o,3,50/50,0.5124423963133641,0.3717805151175812
boxing2,gpt-4o,4,50/50,0.4552656104380242,0.4361579311937197
boxing2,gpt-4o,0,67/33,0.45454545454545453,0.4248366013071896
boxing2,gpt-4o,1,67/33,0.4732142857142857,0.3125
boxing2,gpt-4o,2,67/33,0.4375,0.4315245478036176
boxing2,gpt-4o,3,67/33,0.525879917184265,0.4270833333333333
boxing2,gpt-4o,4,67/33,0.4793028322440087,0.45454545454545453
boxing2,gpt-o1,0,33/67,0.43877032520325204,0.3739177489177489
boxing2,gpt-o1,1,33/67,0.5749491869918699,0.5071982281284606
boxing2,gpt-o1,2,33/67,0.5318181818181819,0.4720338983050847
boxing2,gpt-o1,3,33/67,0.5520728008088979,0.4709293895896767
boxing2,gpt-o1,4,33/67,0.5625641025641026,0.519067469507488
boxing2,gpt-o1,0,50/50,0.43870967741935485,0.39711538461538465
boxing2,gpt-o1,1,50/50,0.5582706766917294,0.494949494949495
boxing2,gpt-o1,2,50/50,0.5414746543778801,0.49986934935981187
boxing2,gpt-o1,3,50/50,0.567741935483871,0.48863636363636365
boxing2,gpt-o1,4,50/50,0.5629077353215285,0.5195968645016797
boxing2,gpt-o1,0,67/33,0.40909090909090906,0.36160714285714285
boxing2,gpt-o1,1,67/33,0.5758928571428572,0.5470588235294117
boxing2,gpt-o1,2,67/33,0.5166666666666667,0.47619047619047616
boxing2,gpt-o1,3,67/33,0.5517598343685299,0.49241044323011535
boxing2,gpt-o1,4,67/33,0.5326797385620915,0.4996655518394649
boxing2,llama3.1:70b,0,33/67,0.3945630081300813,0.3893851132686084
boxing2,llama3.1:70b,1,33/67,0.5464939024390244,0.5102201257861635
boxing2,llama3.1:70b,2,33/67,0.24621212121212122,0.2410589283441517
boxing2,llama3.1:70b,3,33/67,0.3857431749241659,0.3574866310160427
boxing2,llama3.1:70b,4,33/67,0.3064102564102564,0.2598752598752599
boxing2,llama3.1:70b,0,50/50,0.3880184331797235,0.3849021435228332
boxing2,llama3.1:70b,1,50/50,0.581766917293233,0.5347744360902256
boxing2,llama3.1:70b,2,50/50,0.2631336405529954,0.25329023320249366
boxing2,llama3.1:70b,3,50/50,0.40921658986175113,0.3779761904761905
boxing2,llama3.1:70b,4,50/50,0.3126747437092265,0.2675324675324675
boxing2,llama3.1:70b,0,67/33,0.40909090909090906,0.4041666666666667
boxing2,llama3.1:70b,1,67/33,0.5982142857142857,0.5164835164835164
boxing2,llama3.1:70b,2,67/33,0.25416666666666665,0.2496124031007752
boxing2,llama3.1:70b,3,67/33,0.4006211180124224,0.32767402376910015
boxing2,llama3.1:70b,4,67/33,0.3093681917211329,0.26666666666666666
boxing2,llama3.3:70b,0,33/67,0.5264227642276423,0.4885057471264368
boxing2,llama3.3:70b,1,33/67,0.4555386178861789,0.45510204081632655
boxing2,llama3.3:70b,2,33/67,0.5585858585858585,0.5209109730848861
boxing2,llama3.3:70b,3,33/67,0.3925682507583418,0.3925682507583418
boxing2,llama3.3:70b,4,33/67,0.5761538461538461,0.5609108159392789
boxing2,llama3.3:70b,0,50/50,0.5129032258064516,0.47739463601532567
boxing2,llama3.3:70b,1,50/50,0.44172932330827064,0.44172932330827064
boxing2,llama3.3:70b,2,50/50,0.5317972350230414,0.4848780487804878
boxing2,llama3.3:70b,3,50/50,0.4221198156682028,0.4221198156682028
boxing2,llama3.3:70b,4,50/50,0.570829450139795,0.5605051664753158
boxing2,llama3.3:70b,0,67/33,0.5227272727272727,0.47707979626485564
boxing2,llama3.3:70b,1,67/33,0.38839285714285715,0.3888888888888889
boxing2,llama3.3:70b,2,67/33,0.525,0.47276688453159044
boxing2,llama3.3:70b,3,67/33,0.4358178053830228,0.42916450441100157
boxing2,llama3.3:70b,4,67/33,0.6416122004357299,0.6134366925064599
boxing2,deepseek-r1:70b,0,33/67,0.49872967479674796,0.4789652825051055
boxing2,deepseek-r1:70b,1,33/67,0.5967987804878049,0.5789540979414397
boxing2,deepseek-r1:70b,2,33/67,0.49646464646464644,0.4774951076320939
boxing2,deepseek-r1:70b,3,33/67,0.5070778564206269,0.41931274467159635
boxing2,deepseek-r1:70b,4,33/67,0.5738461538461539,0.5563310069790628
boxing2,deepseek-r1:70b,0,50/50,0.504147465437788,0.49230769230769234
boxing2,deepseek-r1:70b,1,50/50,0.5902255639097744,0.5556071511492918
boxing2,deepseek-r1:70b,2,50/50,0.5202764976958525,0.5113446381657512
boxing2,deepseek-r1:70b,3,50/50,0.524884792626728,0.41624229429107473
boxing2,deepseek-r1:70b,4,50/50,0.5740913327120224,0.5568181818181819
boxing2,deepseek-r1:70b,0,67/33,0.5454545454545454,0.5206971677559913
boxing2,deepseek-r1:70b,1,67/33,0.6517857142857143,0.5900621118012422
boxing2,deepseek-r1:70b,2,67/33,0.5541666666666667,0.5493261455525607
boxing2,deepseek-r1:70b,3,67/33,0.525879917184265,0.4270833333333333
boxing2,deepseek-r1:70b,4,67/33,0.477124183006536,0.4540942928039702
boxing2,gemma3:27b,0,33/67,0.657520325203252,0.6515094101300998
boxing2,gemma3:27b,1,33/67,0.5030487804878049,0.45846560846560847
boxing2,gemma3:27b,2,33/67,0.4457070707070707,0.37886340977068794
boxing2,gemma3:27b,3,33/67,0.5139029322548029,0.4159375
boxing2,gemma3:27b,4,33/67,0.5276923076923077,0.5166098269546546
boxing2,gemma3:27b,0,50/50,0.652995391705069,0.651435132032147
boxing2,gemma3:27b,1,50/50,0.5112781954887218,0.44829233341294483
boxing2,gemma3:27b,2,50/50,0.44423963133640554,0.3660262891809909
boxing2,gemma3:27b,3,50/50,0.4894009216589862,0.38888888888888884
