dataset,method,classifier,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,1,0.55,0.3952569169960475
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,2,0.5857142857142856,0.5824561403508772
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,3,0.6571428571428571,0.6458333333333333
acl,gpt-4o,mlp,True,5,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,0,0.7857142857142857,0.7482517482517483
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,1,0.6142857142857143,0.5804195804195804
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-4o,mlp,True,5,1,False,0,1,67/33,4,0.7571428571428571,0.7482517482517483
acl,gpt-o1,mlp,True,1,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-o1,mlp,True,1,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,1,1,False,0,1,33/67,2,0.5416666666666666,0.4102564102564102
acl,gpt-o1,mlp,True,1,1,False,0,1,33/67,3,0.5277777777777778,0.5180952380952382
acl,gpt-o1,mlp,True,1,1,False,0,1,33/67,4,0.6461538461538461,0.6461538461538461
acl,gpt-o1,mlp,True,1,1,False,0,1,50/50,0,0.5763888888888888,0.5641025641025641
acl,gpt-o1,mlp,True,1,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-o1,mlp,True,1,1,False,0,1,50/50,2,0.5,0.3703703703703703
acl,gpt-o1,mlp,True,1,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gpt-o1,mlp,True,1,1,False,0,1,50/50,4,0.5763888888888888,0.5641025641025641
acl,gpt-o1,mlp,True,1,1,False,0,1,67/33,0,0.5,0.2941176470588235
acl,gpt-o1,mlp,True,1,1,False,0,1,67/33,1,0.5428571428571429,0.4857142857142857
acl,gpt-o1,mlp,True,1,1,False,0,1,67/33,2,0.5625,0.5
acl,gpt-o1,mlp,True,1,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-o1,mlp,True,1,1,False,0,1,67/33,4,0.5285714285714286,0.4957983193277311
acl,gpt-o1,mlp,True,2,1,False,0,1,33/67,0,0.6904761904761905,0.6861598440545809
acl,gpt-o1,mlp,True,2,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,2,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,2,1,False,0,1,33/67,3,0.5,0.28125
acl,gpt-o1,mlp,True,2,1,False,0,1,33/67,4,0.2923076923076923,0.2923076923076923
acl,gpt-o1,mlp,True,2,1,False,0,1,50/50,0,0.6319444444444444,0.6136363636363636
acl,gpt-o1,mlp,True,2,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-o1,mlp,True,2,1,False,0,1,50/50,2,0.5357142857142857,0.5277777777777778
acl,gpt-o1,mlp,True,2,1,False,0,1,50/50,3,0.6071428571428572,0.5882352941176471
acl,gpt-o1,mlp,True,2,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-o1,mlp,True,2,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-o1,mlp,True,2,1,False,0,1,67/33,1,0.6142857142857143,0.5804195804195804
acl,gpt-o1,mlp,True,2,1,False,0,1,67/33,2,0.375,0.3333333333333333
acl,gpt-o1,mlp,True,2,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-o1,mlp,True,2,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,gpt-o1,mlp,True,3,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,gpt-o1,mlp,True,3,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,3,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,3,1,False,0,1,33/67,3,0.5476190476190476,0.5217391304347826
acl,gpt-o1,mlp,True,3,1,False,0,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,gpt-o1,mlp,True,3,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gpt-o1,mlp,True,3,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-o1,mlp,True,3,1,False,0,1,50/50,2,0.4642857142857143,0.4631578947368421
acl,gpt-o1,mlp,True,3,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gpt-o1,mlp,True,3,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-o1,mlp,True,3,1,False,0,1,67/33,0,0.6428571428571428,0.5555555555555556
acl,gpt-o1,mlp,True,3,1,False,0,1,67/33,1,0.5428571428571429,0.4857142857142857
acl,gpt-o1,mlp,True,3,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gpt-o1,mlp,True,3,1,False,0,1,67/33,3,0.625,0.5804195804195804
acl,gpt-o1,mlp,True,3,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,gpt-o1,mlp,True,4,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,gpt-o1,mlp,True,4,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,4,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,4,1,False,0,1,33/67,3,0.5476190476190476,0.5217391304347826
acl,gpt-o1,mlp,True,4,1,False,0,1,33/67,4,0.4307692307692308,0.4304761904761904
acl,gpt-o1,mlp,True,4,1,False,0,1,50/50,0,0.6319444444444444,0.6136363636363636
acl,gpt-o1,mlp,True,4,1,False,0,1,50/50,1,0.55,0.3952569169960475
acl,gpt-o1,mlp,True,4,1,False,0,1,50/50,2,0.6071428571428572,0.5882352941176471
acl,gpt-o1,mlp,True,4,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gpt-o1,mlp,True,4,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-o1,mlp,True,4,1,False,0,1,67/33,0,0.7142857142857143,0.6571428571428571
acl,gpt-o1,mlp,True,4,1,False,0,1,67/33,1,0.3714285714285714,0.3142857142857143
acl,gpt-o1,mlp,True,4,1,False,0,1,67/33,2,0.625,0.5804195804195804
acl,gpt-o1,mlp,True,4,1,False,0,1,67/33,3,0.625,0.4857142857142857
acl,gpt-o1,mlp,True,4,1,False,0,1,67/33,4,0.8,0.8125
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,1,0.625,0.5548387096774194
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,3,0.6388888888888888,0.6086956521739131
acl,gpt-o1,mlp,True,5,1,False,0,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,2,0.5142857142857142,0.5142857142857142
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,3,0.5857142857142856,0.5824561403508772
acl,gpt-o1,mlp,True,5,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,0,0.7142857142857143,0.6571428571428571
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,1,0.4428571428571428,0.4125874125874126
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,2,0.6875,0.6571428571428571
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,3,0.5,0.4957983193277311
acl,gpt-o1,mlp,True,5,1,False,0,1,67/33,4,0.7285714285714285,0.7333333333333334
acl,gemini,mlp,True,1,1,False,0,1,33/67,0,0.5,0.28125
acl,gemini,mlp,True,1,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gemini,mlp,True,1,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gemini,mlp,True,1,1,False,0,1,33/67,3,0.5277777777777778,0.5180952380952382
acl,gemini,mlp,True,1,1,False,0,1,33/67,4,0.3307692307692308,0.327485380116959
acl,gemini,mlp,True,1,1,False,0,1,50/50,0,0.4513888888888889,0.3952569169960475
acl,gemini,mlp,True,1,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gemini,mlp,True,1,1,False,0,1,50/50,2,0.5142857142857142,0.5142857142857142
acl,gemini,mlp,True,1,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gemini,mlp,True,1,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gemini,mlp,True,1,1,False,0,1,67/33,0,0.5428571428571429,0.4857142857142857
acl,gemini,mlp,True,1,1,False,0,1,67/33,1,0.5714285714285714,0.4375
acl,gemini,mlp,True,1,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,gemini,mlp,True,1,1,False,0,1,67/33,3,0.625,0.4857142857142857
acl,gemini,mlp,True,1,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,gemini,mlp,True,2,1,False,0,1,33/67,0,0.5,0.28125
acl,gemini,mlp,True,2,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gemini,mlp,True,2,1,False,0,1,33/67,2,0.5833333333333334,0.4866071428571428
acl,gemini,mlp,True,2,1,False,0,1,33/67,3,0.5,0.28125
acl,gemini,mlp,True,2,1,False,0,1,33/67,4,0.3423076923076923,0.3428571428571428
acl,gemini,mlp,True,2,1,False,0,1,50/50,0,0.5138888888888888,0.4848484848484848
acl,gemini,mlp,True,2,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gemini,mlp,True,2,1,False,0,1,50/50,2,0.4642857142857143,0.4631578947368421
acl,gemini,mlp,True,2,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gemini,mlp,True,2,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gemini,mlp,True,2,1,False,0,1,67/33,0,0.5428571428571429,0.4857142857142857
acl,gemini,mlp,True,2,1,False,0,1,67/33,1,0.6428571428571428,0.5555555555555556
acl,gemini,mlp,True,2,1,False,0,1,67/33,2,0.5,0.25
acl,gemini,mlp,True,2,1,False,0,1,67/33,3,0.5625,0.5555555555555556
acl,gemini,mlp,True,2,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,gemini,mlp,True,3,1,False,0,1,33/67,0,0.5,0.28125
acl,gemini,mlp,True,3,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gemini,mlp,True,3,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gemini,mlp,True,3,1,False,0,1,33/67,3,0.6031746031746031,0.5643939393939394
acl,gemini,mlp,True,3,1,False,0,1,33/67,4,0.3307692307692308,0.327485380116959
acl,gemini,mlp,True,3,1,False,0,1,50/50,0,0.6319444444444444,0.6136363636363636
acl,gemini,mlp,True,3,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gemini,mlp,True,3,1,False,0,1,50/50,2,0.5642857142857143,0.5641025641025641
acl,gemini,mlp,True,3,1,False,0,1,50/50,3,0.7571428571428571,0.7571428571428571
acl,gemini,mlp,True,3,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gemini,mlp,True,3,1,False,0,1,67/33,0,0.5428571428571429,0.4857142857142857
acl,gemini,mlp,True,3,1,False,0,1,67/33,1,0.7142857142857143,0.6571428571428571
acl,gemini,mlp,True,3,1,False,0,1,67/33,2,0.5,0.4857142857142857
acl,gemini,mlp,True,3,1,False,0,1,67/33,3,0.4375,0.4125874125874126
acl,gemini,mlp,True,3,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,gemini,mlp,True,4,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gemini,mlp,True,4,1,False,0,1,33/67,1,0.4962121212121212,0.3839285714285714
acl,gemini,mlp,True,4,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gemini,mlp,True,4,1,False,0,1,33/67,3,0.5674603174603174,0.5180952380952382
acl,gemini,mlp,True,4,1,False,0,1,33/67,4,0.3192307692307692,0.3002028397565923
