dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
acl,gpt-4o,5,0,True,False,1,2,1,50/50,0.6666666666666666,0.6136363636363636
acl,gpt-4o,5,1,True,False,1,2,1,50/50,0.6857142857142857,0.6886446886446886
acl,gpt-4o,5,2,True,False,1,2,1,50/50,0.36428571428571427,0.35294117647058826
acl,gpt-4o,5,3,True,False,1,2,1,50/50,0.7785714285714285,0.7638888888888888
acl,gpt-4o,5,4,True,False,1,2,1,50/50,0.8263888888888888,0.8235294117647058
acl,gpt-4o,5,0,True,False,1,2,1,67/33,0.8,0.8125
acl,gpt-4o,5,1,True,False,1,2,1,67/33,0.6571428571428571,0.6571428571428571
acl,gpt-4o,5,2,True,False,1,2,1,67/33,0.375,0.3333333333333333
acl,gpt-4o,5,3,True,False,1,2,1,67/33,0.6875,0.6571428571428571
acl,gpt-4o,5,4,True,False,1,2,1,67/33,0.8571428571428572,0.8333333333333334
acl,gemini,5,0,True,False,1,2,0,33/67,0.46825396825396826,0.4559139784946237
acl,gemini,5,1,True,False,1,2,0,33/67,0.5151515151515151,0.50682261208577
acl,gemini,5,2,True,False,1,2,0,33/67,0.3522727272727273,0.34285714285714286
acl,gemini,5,3,True,False,1,2,0,33/67,0.42063492063492064,0.39015151515151514
acl,gemini,5,4,True,False,1,2,0,33/67,0.4076923076923077,0.3935091277890467
acl,gemini,5,0,True,False,1,2,0,50/50,0.5138888888888888,0.48484848484848486
acl,gemini,5,1,True,False,1,2,0,50/50,0.4928571428571428,0.48484848484848486
acl,gemini,5,2,True,False,1,2,0,50/50,0.39285714285714285,0.39285714285714285
acl,gemini,5,3,True,False,1,2,0,50/50,0.3142857142857143,0.29166666666666663
acl,gemini,5,4,True,False,1,2,0,50/50,0.5138888888888888,0.48484848484848486
acl,gemini,5,0,True,False,1,2,0,67/33,0.5428571428571429,0.4857142857142857
acl,gemini,5,1,True,False,1,2,0,67/33,0.3857142857142857,0.37777777777777777
acl,gemini,5,2,True,False,1,2,0,67/33,0.375,0.37777777777777777
acl,gemini,5,3,True,False,1,2,0,67/33,0.3125,0.24475524475524477
acl,gemini,5,4,True,False,1,2,0,67/33,0.4571428571428572,0.4375
acl,gemini,5,0,True,False,1,2,0.5,33/67,0.5238095238095238,0.5208333333333333
acl,gemini,5,1,True,False,1,2,0.5,33/67,0.4015151515151515,0.3611111111111111
acl,gemini,5,2,True,False,1,2,0.5,33/67,0.4015151515151515,0.3611111111111111
acl,gemini,5,3,True,False,1,2,0.5,33/67,0.43253968253968256,0.425
acl,gemini,5,4,True,False,1,2,0.5,33/67,0.45769230769230773,0.45238095238095233
acl,gemini,5,0,True,False,1,2,0.5,50/50,0.5138888888888888,0.48484848484848486
acl,gemini,5,1,True,False,1,2,0.5,50/50,0.3142857142857143,0.29166666666666663
acl,gemini,5,2,True,False,1,2,0.5,50/50,0.3,0.2608695652173913
acl,gemini,5,3,True,False,1,2,0.5,50/50,0.44285714285714284,0.43956043956043955
acl,gemini,5,4,True,False,1,2,0.5,50/50,0.4583333333333333,0.43956043956043955
acl,gemini,5,0,True,False,1,2,0.5,67/33,0.5428571428571429,0.4857142857142857
acl,gemini,5,1,True,False,1,2,0.5,67/33,0.27142857142857146,0.24475524475524477
acl,gemini,5,2,True,False,1,2,0.5,67/33,0.3125,0.29411764705882354
acl,gemini,5,3,True,False,1,2,0.5,67/33,0.4375,0.4375
acl,gemini,5,4,True,False,1,2,0.5,67/33,0.3857142857142857,0.37777777777777777
acl,gemini,5,0,True,False,1,2,1,33/67,0.5992063492063493,0.5964912280701754
acl,gemini,5,1,True,False,1,2,1,33/67,0.5,0.3235294117647059
acl,gemini,5,2,True,False,1,2,1,33/67,0.5227272727272727,0.5217391304347826
acl,gemini,5,3,True,False,1,2,1,33/67,0.5238095238095238,0.5208333333333333
acl,gemini,5,4,True,False,1,2,1,33/67,0.7192307692307692,0.6933333333333334
acl,gemini,5,0,True,False,1,2,1,50/50,0.6388888888888888,0.6357142857142857
acl,gemini,5,1,True,False,1,2,1,50/50,0.5,0.2916666666666667
acl,gemini,5,2,True,False,1,2,1,50/50,0.4642857142857143,0.4631578947368421
acl,gemini,5,3,True,False,1,2,1,50/50,0.4928571428571428,0.48484848484848486
acl,gemini,5,4,True,False,1,2,1,50/50,0.6597222222222222,0.6357142857142857
acl,gemini,5,0,True,False,1,2,1,67/33,0.6857142857142857,0.6666666666666666
acl,gemini,5,1,True,False,1,2,1,67/33,0.5,0.29411764705882354
acl,gemini,5,2,True,False,1,2,1,67/33,0.4375,0.4125874125874126
acl,gemini,5,3,True,False,1,2,1,67/33,0.4375,0.4375
acl,gemini,5,4,True,False,1,2,1,67/33,0.6142857142857143,0.5804195804195804
acl,claude,5,0,True,False,1,2,0,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,1,True,False,1,2,0,33/67,0.5454545454545454,0.4362745098039216
